text,cleaned_tweet,sentiment,label,user
For #China' foreign Ministry I will be https://t.co/GXAol3rIlu define his attitude toward #EU and #NATO in the… https://t.co/w1EIErLOx2,china foreign ministry define attitude toward eu nato,negative,0,Mastiff48
"Russia ,China &amp;India :can’t make any order?Indians didn’t forget the 1962 war (against PANCHSHIL) China is not trus… https://t.co/wDg19WNOnX",russia china ampindia cant make orderindians didnt forget war panchshil china trus,neutral,1,RajBanshRay
RT @YoshiYamamo_to: Workers of the Greek railway company TrainOSE refuse to participate in the transportation of US and NATO military vehic…,rt worker greek railway company trainose refuse participate transportation u nato military vehic,negative,0,marous222
"RT @SpokespersonCHN: #China supports the #EU in playing a primary role, and supports dialogue among Europe, #Russia, the #US and #NATO for…",rt china support eu playing primary role support dialogue among europe russia u nato,positive,2,DaleKalamazad
RT @svennihelga: PM Mette Frederiksen #Denmark @Statsmin in Camp Adazi today as 🇩🇰 plans to send 800 soldiers to #Latvia on #NATO request.…,rt pm mette frederiksen denmark camp adazi today plan send soldier latvia nato request,neutral,1,hqmndn
"RT @a_lead_1: All of you who support NATO to go on a trip to the Donbass Alley of Angels. To stand there and see the truth, it's easy to pl…",rt support nato go trip donbas alley angel stand see truth easy pl,positive,2,DingaDongar
"Quick return for #CEF117 C-295, almost back in 🇨🇿#Prague, could be another MEDEVAC transport.\n#Czechia #Poland… https://t.co/v10axbcGN1",quick return cef117 c295 almost back prague could another medevac transportnczechia poland,positive,2,Nom4d_14
"Edellinen presidenttimme voi jatkaa eläkepäiviään hyvillä mielin.  Maassamme on sentään ollut presidentti, joka on… https://t.co/R8NDS6oHXM",edellinen presidenttimme voi jatkaa elkepivin hyvill mielin maassamme sentn ollut presidentti joka,neutral,1,elkonpelto
Vilken chock att #extremvänstern är emot frihetspakten #Nato Putin har många lakejer och avsändare i Sverige https://t.co/Uxw48aX6QE,vilken chock att extremvnstern r emot frihetspakten nato putin har mnga lakejer och avsndare sverige,neutral,1,beckmansasikter
RT @SarahDerekby: #NATO members outside the U.S. are set to boost their military spending following Russia’s invasion of #Ukraine https://t…,rt nato member outside u set boost military spending following russia invasion ukraine,negative,0,JAgainstNukesUK
"RT @YoshiYamamo_to: \Slava Ukraini\"" No Nazis in Ukraine! Military card of the Armed Forces of Ukraine of the 79th brigade\n#Ukraine   #Ukrai…""",rt slava ukraini nazi ukraine military card armed force ukraine 79th brigadenukraine ukrai,negative,0,marous222
"NATO spy plane flying perfect circles above Romania on the border with Moldova, and a French Air Force plane doing… https://t.co/64VtMWE7oV",nato spy plane flying perfect circle romania border moldova french air force plane,positive,2,KernowGold
Tätä ei saa ainakaan venyttää eikä prosessia hidastaa. \n\nEi yhtään. \n\nSe on nyt poliitikkojen harteilla. \nSiksi tei… https://t.co/5Aciz4glC7,tt ei saa ainakaan venytt eik prosessia hidastaa nnei yhtn nnse nyt poliitikkojen harteilla nsiksi tei,neutral,1,imperikari
#NATO please get serious about this war.\n#natoinukrainenow \n#StopPutinNOW \n#путинубийца https://t.co/9UtIZ4b3Fa,nato please get serious warnnatoinukrainenow nstopputinnow n,negative,0,JacekWork
"#Putin's side-kick, Dmitry Medvedev, asserts that #Russia has a veto on who can join the EU. \n\nIn his view the EU i… https://t.co/YUhRe5zvdw",putin sidekick dmitry medvedev asserts russia veto join eu nnin view eu,neutral,1,DonnachaDCU
RT @TV9Bharatvarsh: बात के बीच में आघात..रूस..करारा जवाब देगा !\n\n#WarCoverageOnTv9 | #Tv9BharatvarshNo1 | #NATO | #UkraineRussiaCrisis | #A…,rt nnwarcoverageontv9 tv9bharatvarshno1 nato ukrainerussiacrisis,neutral,1,Rohit10111011
RT @ledarsidorna_se: Intressant att @svtnyheter bara presenterar doc Jonathan Feldman som forskare.\n\nInte ett ord om långt engagemang i fre…,rt intressant att bara presenterar doc jonathan feldman som forskarenninte ett ord om lngt engagemang fre,neutral,1,J_Carlberg
"RT @VilleNiinisto: Kära vänner i Sverige, jag är övertygad att Finland kommer att lämna #Nato-ansökän med stor politisk majoritet denna vår…",rt kra vnner sverige jag r vertygad att finland kommer att lmna natoanskn med stor politisk majoritet denna vr,neutral,1,GostaBroholmer
RT @TV9Bharatvarsh: बेलगोरोड में एयर स्ट्राइक पर रूस ने जताई नाराजगी\n\n#WarCoverageOnTv9 | #Tv9BharatvarshNo1 | #NATO | #UkraineRussiaCrisis…,rt nnwarcoverageontv9 tv9bharatvarshno1 nato ukrainerussiacrisis,neutral,1,Rohit10111011
RT @SgforgoodStella: Countries that \n1. imposed sanctions \n2. with the largest external debt \n3. #NATO countries https://t.co/Aje165uMvV,rt country n1 imposed sanction n2 largest external debt n3 nato country,neutral,1,Milos1389Obilic
"RT @NATO: There are 40,000 troops under #NATO command in the eastern part of the Alliance, and Allies have agreed on 4 new multinational ba…",rt troop nato command eastern part alliance ally agreed new multinational ba,positive,2,Clausewitz_
"RT @TV9Bharatvarsh: मारियुपोल से 6,266 लोगों का इवैकुएशन-यूक्रेन\n\n#WarCoverageOnTv9 | #Tv9BharatvarshNo1 | #NATO | #UkraineRussiaCrisis | #…",rt nnwarcoverageontv9 tv9bharatvarshno1 nato ukrainerussiacrisis,neutral,1,Rohit10111011
#POTUS \n#SCOTUS \n#GOP \n#DNC \n#FoxNews \n#CNN \n#Antifa \n#BlackLivesMatter \n#PONTIFEX \n#CopelandNetwork \n#UN \n#NATO… https://t.co/nQPMuYytZf,potus nscotus ngop ndnc nfoxnews ncnn nantifa nblacklivesmatter npontifex ncopelandnetwork nun nnato,neutral,1,VeedusM
#รัสเซีย \n#SaveGaza \n#รัสเซียยูเครน \n#กระติก\n#แตงโม\n#StandwithAfghanistan\n#StandwithPalestine \n#nato \n#โหนกระแส https://t.co/lDHvSyAfDb,nsavegaza n nnnstandwithafghanistannstandwithpalestine nnato n,neutral,1,FidHeadstrong
"RT @MilitarisCath: The #Ukrainian Armed Forces @DefenceU are arguably better than #Nato and #American Armed forces,  Because they are achie…",rt ukrainian armed force arguably better nato american armed force achie,positive,2,Harold_Bman
Nato u centralnoj aziji neprihvatljiv – rusija https://t.co/38aCA5GUWi #mars #nato https://t.co/pHbF0tvzVV,nato u centralnoj aziji neprihvatljiv rusija mar nato,neutral,1,poligrafnews
RT @pawelkusiak: 🔸Jakie są strategiczne cele Rosji🇷🇺 wobec Polski🇵🇱? \n🔸Czy #Putin zaatakuje Polskę militarnie? \n🔸Czy #NATO będzie bronić na…,rt jakie strategiczne cele rosji wobec polski nczy putin zaatakuje polsk militarnie nczy nato bdzie broni na,neutral,1,spadak6
RT @id_communism: #Athens - Thousands of people attended the massive anti-war rally of the Communist Party (#KKE) sending a strong message:…,rt athens thousand people attended massive antiwar rally communist party kke sending strong message,positive,2,kostashatzis5
RT @georgegalloway: Sunday 7pm (London) @m_suchkov  on #russia #USA #Ukraine #Russian #NATO https://t.co/g3KBiJQ7UV,rt sunday 7pm london russia usa ukraine russian nato,neutral,1,FawkesHandles
@EricNaulleau La pièce #ukraine l’autre face \n#UkraineGate #PanamaPapers #Zelensky #BidenCrimeFamilly #MinskAccord… https://t.co/sOfYjh8tpx,la pice ukraine lautre face nukrainegate panamapapers zelensky bidencrimefamilly minskaccord,neutral,1,EvaB_Victoire3
"RT @43Hannu: .@AnnikaSaarikko’n haastattelusta tulee ilmi, että #Nato-jäsenyys olisi @keskusta’lle erittäin vaikea ja vastenmielinen asia,…",rt n haastattelusta tulee ilmi ett natojsenyys olisi lle erittin vaikea ja vastenmielinen asia,neutral,1,j_makr
"RT @Latvian_MFA: On April 2, 2004, #Latvian flag was solemnly raised at the #NATO HQ in #Brussels, symbolizing  country’s accession to the…",rt april latvian flag solemnly raised nato hq brussels symbolizing country accession,neutral,1,adekleine
"RT @BRAVENEWEUROPE1: Pursuing national sovereignty means keeping foreign powers out of your domestic politics not inviting them in, as Ukra…",rt pursuing national sovereignty mean keeping foreign power domestic politics inviting ukra,negative,0,BRAVENEWEUROPE1
"RT @patrikoksanen: Ibland blir det oväntade möten och motpoler som möts, som på rad 10 på 7:05 flighten från Helsingfors Flygstation till A…",rt ibland blir det ovntade mten och motpoler som mt som p rad p flighten frn helsingfors flygstation till,neutral,1,cicob2
RT @JeffInBville: @RFERL Just imagine if tomorrow morning #NATO forced open a #humanitarian corridor to every besieged city in #Ukraine rat…,rt imagine tomorrow morning nato forced open humanitarian corridor every besieged city ukraine rat,negative,0,infolinity
Stop ruscism! #Ukraine #USA #Germany #Ireland #Austria #EU #UK #Europe #Romania #France #Russia #Czech #Netherlands… https://t.co/uP0yE8wqQL,stop ruscism ukraine usa germany ireland austria eu uk europe romania france russia czech netherlands,neutral,1,September_UA
RT @NATO_AIRCOM: .@NATO's Air Policing mission in the Baltics 🇪🇪🇱🇻🇱🇹 continues as incoming Allies @EjercitoAire 🇪🇸 Czech Air Force 🇨🇿 @Arme…,rt air policing mission baltic continues incoming ally czech air force,neutral,1,VRockambolesk
#POTUS \n#SCOTUS \n#GOP \n#DNC \n#FoxNews \n#CNN \n#Antifa \n#BlackLivesMatter \n#PONTIFEX \n#CopelandNetwork \n#UN \n#NATO… https://t.co/7BhdabYJva,potus nscotus ngop ndnc nfoxnews ncnn nantifa nblacklivesmatter npontifex ncopelandnetwork nun nnato,neutral,1,VeedusM
RT @JFC_Naples: Now that's what we call a bird's eye view! Ever wonder what a bird sees above an aircraft carrier? \n\nProbably something lik…,rt thats call bird eye view ever wonder bird see aircraft carrier nnprobably something lik,neutral,1,LuxandraV
Stop ruscism! #Ukraine #USA #Germany #Ireland #Austria #EU #UK #Europe #Romania #France #Russia #Czech #Netherlands… https://t.co/A2A6MSialT,stop ruscism ukraine usa germany ireland austria eu uk europe romania france russia czech netherlands,neutral,1,September_UA
RT @Jim_Oberst: #Ukraine \nThe #Biden / #Zelensky / #NATO globabl aliance is paying off and according to press accounts will be making polic…,rt ukraine nthe biden zelensky nato globabl aliance paying according press account making polic,neutral,1,jayhnh
"RT @Farnakyboy: In #Greece, railway workers protest against the transfer of #US and #NATO military armored vehicles to the #Ukrainian borde…",rt greece railway worker protest transfer u nato military armored vehicle ukrainian borde,negative,0,wombat07153708
I confirmed that Latvia will continue to do everything possible in the field of military assistance. Latvia will al… https://t.co/Jeo3SFJbUZ,confirmed latvia continue everything possible field military assistance latvia al,positive,2,valstsgriba
RT @Steenws: @HenriVanhanen Finland belongs in #NATO .,rt finland belongs nato,neutral,1,magicdmw
RT @VeedusM: #POTUS \n#SCOTUS \n#GOP \n#DNC \n#FoxNews \n#CNN \n#Antifa \n#BlackLivesMatter \n#PONTIFEX \n#CopelandNetwork \n#UN \n#NATO \n#WSJ \n#NYSE…,rt potus nscotus ngop ndnc nfoxnews ncnn nantifa nblacklivesmatter npontifex ncopelandnetwork nun nnato nwsj nnyse,neutral,1,JFSebastian146
"I believe Russia had any and every right to counter NATO and Merican bullshit,\nTo support Ukraine you either have t… https://t.co/QtaRKaMdaP",believe russia every right counter nato merican bullshitnto support ukraine either,positive,2,ArsalanKhalidK2
"🇫🇮Tervehdys teille, valkoinen voima!💜⚡️⚡️🇫🇮😏🤔🧐🫵 Nyt puhutaan #Venäjä stä, #Ukraina sta ja sysätään lujaa kohti suur… https://t.co/J0vTNQg6zA",tervehdys teille valkoinen voima nyt puhutaan venj st ukraina sta ja systn lujaa kohti suur,neutral,1,SannaPiipponen
RT @worldvisioncan: #PrayforUkraine with us in a night of worship and prayer in support of the millions of families affected by the conflic…,rt prayforukraine u night worship prayer support million family affected conflic,neutral,1,carlCurrelley
RT @miss_NFTs: I sublimate during our walks with my family by the sea💙💛🙏\n\n#StopPutin #StopWar #StopRussia #StandWithUkraine #PrayForUkraine…,rt sublimate walk family seannstopputin stopwar stoprussia standwithukraine prayforukraine,neutral,1,Alla_Black_NFT
#Ukraine #Украйна  #Ukraina #乌克兰 #Russia #NFSCRescue #ROLFRescue #Rescue #PrayForUkraine https://t.co/52ltYHbEFH,ukraine ukraina russia nfscrescue rolfrescue rescue prayforukraine,neutral,1,maxkootsg
We shall overcome🇺🇦\n We shall おばか\n#Weshallovercome #PrayForUkraine https://t.co/rygXOjeusD,shall overcomen shall nweshallovercome prayforukraine,neutral,1,satisatime
Nowです。\nNATO、フランス、アメリカ、スウェーデンの軍機がこれだけ近距離で飛び回っているので何か動きがあるのかな。マクロンさんが言ってたやつかな？\n#StandWithUkraine 🇺🇦\n#PeaceforUkraine… https://t.co/gbKRsoJpRV,nownnatonstandwithukraine npeaceforukraine,neutral,1,amanojakudesu
"RT @Shevchenk0_Mila: #РоссияСмотри  #Russian Вам не страшно? Такие последствия Вас ждут, радиационное облучение оккупационных войск и техни…",rt russian,neutral,1,UogWalay
https://t.co/t4Vr3KVcz3\nhttps://t.co/kZHa8RIqeu\n#liveyourbestlife \n#PrayForUkraine \n@VothDesigns https://t.co/VH91DBhD3H,nprayforukraine n,neutral,1,noroom4phonies
RT @UrbanCitizensFo: 2022.04.02\n🇲🇳🇺🇦 #Mongolia #Ulaanbaatar protest against war in Ukraine. \n#NoWar #PrayForUkraine #NoPutin https://t.co/y…,rt 20220402n mongolia ulaanbaatar protest war ukraine nnowar prayforukraine noputin,neutral,1,GidanMunk
RT @Arts_42: Homage\n#Art 🎨\n©️Bruce Neeley 2022\n#Poetry✍🏻\n©️Tereza Gillespie 2022\n@TBGTNT✍🏻\n❤️#Female🪷#Poets❤️\n❤️☘️🐥❤️✨🪷🦢❤️🦢🪷\n#WritingCommun…,rt homagenart nbruce neeley 2022npoetryntereza gillespie 2022nnfemalepoetsnnwritingcommun,neutral,1,JimBrazil
RT @Lukebulleth: THIS WAR IS GENOCIDE. RUSSIA MUST BE STOPPED.\n\n#WarCrimes \n#Russian \n#PrayForUkraine \n#Moldova they’re going to attack Mol…,rt war genocide russia must stoppednnwarcrimes nrussian nprayforukraine nmoldova theyre going attack mol,neutral,1,LukeBullough
THIS WAR IS GENOCIDE. RUSSIA MUST BE STOPPED.\n\n#WarCrimes \n#Russian \n#PrayForUkraine \n#Moldova they’re going to att… https://t.co/BoPfuk5P6N,war genocide russia must stoppednnwarcrimes nrussian nprayforukraine nmoldova theyre going att,neutral,1,Lukebulleth
Нарешті я зняв вишневі квіти.\n#Біблія #Христос #квітка #слива #християнський #Вишневийцвіт #prayforukraine\nХай буде… https://t.co/mM1xdx0SoC,n prayforukrainen,neutral,1,kolbejpp
RT @woolismybread: We popped to the post office to post all our orders 🙏.. pick up food supplies and say a pray in St Andrew’s for the peop…,rt popped post office post order pick food supply say pray st andrew peop,neutral,1,Avonan
#PrayforUkraine with us in a night of worship and prayer in support of the millions of families affected by the con… https://t.co/KnJ7VOGqr3,prayforukraine u night worship prayer support million family affected con,neutral,1,worldvisioncan
RT @ShanMo76910739: Sunflowers🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻\nMarking Support For Ukraine🇺🇦💙💛\nhttps://t.co/xKxeEqRz8G\n\n#prayforukraine #cyber #union #support…,rt sunflowersnmarking support ukrainen cyber union support,neutral,1,SocialDesignCr1
@Twitter Wonderful!😃. \nNow please verify our friend @NickKnudsenUS \n\nThank You!❤️\n\n🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦… https://t.co/wy79Mj6GDv,wonderful nnow please verify friend nnthank younn,positive,2,catherineanntuc
I'm creating a praying angel to represent Ukraine! Showing so love prayers and support! She's not done yet but comi… https://t.co/6aStS5KYRp,im creating praying angel represent ukraine showing love prayer support shes done yet comi,positive,2,CraftFairycutz
RT @xiukab_ua: Отак окупанти нас підтримують та рятують \n#ukraine #UkraineWar #UkraineRussiaWar #PrayForUkraine #StandWithUkraine https://t…,rt nukraine ukrainewar ukrainerussiawar prayforukraine standwithukraine,neutral,1,igor_gritsyuk
日本の子どもたちの絵がウクライナの兵士たちに届けられるとのことです #prayforukraine 🇺🇦 https://t.co/HD0t32NGul,prayforukraine,neutral,1,kenkengota
"RT @Irchik83590944: Доброго вечора! Ми з України! 🇺🇦\n🤗💙💛\nВідео-флешмоб українських зірок\n \n\Ой у лузі червона калина..\""\n\n#Ukraine #Ukrainia…""",rt nn n n nnukraine ukrainia,neutral,1,georazved11
RT @UrbanCitizensFo: 2022.04.02\n🇲🇳🇺🇦 #Mongolia #Ulaanbaatar protest against war in Ukraine. \n#NoWar #PrayForUkraine #NoPutin https://t.co/R…,rt 20220402n mongolia ulaanbaatar protest war ukraine nnowar prayforukraine noputin,neutral,1,Sara_Moon0406
Amen. 🙏 #Prayers #Repentance #Fast #Lent #Conversions #Penance #PrayForRussia  #PrayForPresidentPutin… https://t.co/yhT7IRtdBp,amen prayer repentance fast lent conversion penance prayforrussia prayforpresidentputin,positive,2,AnitaMWeir1
RT @InteristDrew: @YourAnonNews #PrayForUkraine! #StopWar #СлаваУкраїні https://t.co/d0ZWQaqKY1,rt prayforukraine stopwar,neutral,1,Over_Looks
RT @sasakikazuo101: 今日も祈ります\nウクライナに平和を🇺🇦\n祈りが届きますように🌻\n\n#PrayForUkraine\n#SunflowerFromJapan\n#お散歩カメラ https://t.co/nAK09EpgEO,rt nnnnprayforukrainensunflowerfromjapann,neutral,1,babylonianelfin
"RT @JordanHillPhoto: Sunlight Through The Sunflowers\n\nThe Sunflower Field, Autaugaville Alabama\nhttps://t.co/rjy2HzdYo4\n\n#SpringForArt #nat…",rt sunlight sunflowersnnthe sunflower field autaugaville alabaman nat,neutral,1,JordanHillPhoto
RT @cocoarisa0411: ウクライナへ祈りを届けるプロジェクトをはじめます🇺🇦🌻\n\n#PrayForUkraine\n#SunflowerFromJapan\n\nのハッシュタグと共にウクライナの国花であるひまわりの絵を投稿いただきたいです。\n\n詳細はこちら\nhttps:…,rt nnprayforukrainensunflowerfromjapannnnnn,neutral,1,babylonianelfin
Настав час об’єднатися!\nПідключення.　солідарність.　Співчуття.\n　#WeStandWithUkraine　 #Ukraine #PrayForUkraine… https://t.co/MfygR2RLQT,nnwestandwithukraine ukraine prayforukraine,neutral,1,babylonianelfin
RT @pfarrblattbern: Frieden JETZT. Demo in #Bern. #PrayForUkraine #PrayForRussia #PrayForPeace @RitaFamos @EKS_EERS @kathch https://t.co/Ma…,rt frieden jetzt demo bern prayforukraine prayforrussia prayforpeace,neutral,1,andreaskrum
The Ukrainian people are fighting back against Vladimir Putin’s cruelty with patriotic courage that will define the… https://t.co/stC7FwuxM4,ukrainian people fighting back vladimir putin cruelty patriotic courage define,neutral,1,MavicAir2Tw
We popped to the post office to post all our orders 🙏.. pick up food supplies and say a pray in St Andrew’s for the… https://t.co/nIL4zekEH5,popped post office post order pick food supply say pray st andrew,neutral,1,woolismybread
RT @KdqbAo: @ReutersJapan もはや大量虐殺\n我々はこの歴史的蛮行を決して許さない\nそして決して忘れない\nプーチンこそ紛れもない戦犯\n自由と平和こそが世界の宝\n\nГрех лежит на Путине. \nДавайте свергнем правите…,rt nnnnnn n,neutral,1,a01209024
"RT @_Egypt_my_Love_: @Klitschko Danke Wladimir für deine Worte!\nDeutschland lässt die Ukraine nicht alleine,\nwir sind immer für euch da 🇩🇪…",rt danke wladimir fr deine wortendeutschland lsst die ukraine nicht alleinenwir sind immer fr euch da,positive,2,Alina42058103
RT @Arts_42: Angel of Peace 🕊\nBruce Neeley ©️2022\n❤️☘️🐥❤️✨❤️🦢❤️🦢❤️\n#ArtistsOnTwitter #Art\n#DigitalPainting #Photo\n❤️🧡💛💚💙💜🖤🤍🤎❤️\n#Love ❤️#Pea…,rt angel peace nbruce neeley 2022nnartistsontwitter artndigitalpainting photonnlove pea,positive,2,glitter_2em13
#BuenDia #BuenSabado #FelizSabado #2DeAbril #Saturday #Weekend #PutinIsAWarCriminal #Zelenski #Kiev #Mariupol #Kyiv… https://t.co/RRuTEPYMKA,buendia buensabado felizsabado 2deabril saturday weekend putinisawarcriminal zelenski kiev mariupol kyiv,neutral,1,JuanEze96578047
RT @1osCristianos: El #sábado es el día de nuestra madre la Virgen: \n  \n ten un detalle con ella.   \n\n#PrayForUkraine  \n\nhttps://t.co/S7g4s…,rt el sbado e el da de nuestra madre la virgen n n ten un detalle con ella nnprayforukraine nn,neutral,1,drcorazo
Світ солідарний з українським народом.\nСвіт з українським народом.\nПідключення.　солідарність.　Співчуття.\n #Ukraine… https://t.co/8p4k5LDkyD,n nn ukraine,neutral,1,babylonianelfin
…the Lord will not let the wicked succeed or let the godly be condemned…. Put your hope in the Lord. Travel steadil… https://t.co/rFGDJdjwtW,lord let wicked succeed let godly condemned put hope lord travel steadil,neutral,1,RonaldLHarris
💐🙏Rest in peace🌈\n#PrayForPeace\n#PrayForUkraine\n#Україна 🌻🌻 https://t.co/bnvPYgrT0b,rest peacenprayforpeacenprayforukrainen,neutral,1,1B6hQSBkqIVceet
RT @NaruseYuru: #PrayForUkraine \n#PeaceForUkraine\n ウクライナの為に……。 https://t.co/joEjSOaUjp,rt prayforukraine npeaceforukrainen,neutral,1,halhal_mn912
"@Klitschko Danke Wladimir für deine Worte!\nDeutschland lässt die Ukraine nicht alleine,\nwir sind immer für euch da… https://t.co/4ovn4uh9Yj",danke wladimir fr deine wortendeutschland lsst die ukraine nicht alleinenwir sind immer fr euch da,neutral,1,_Egypt_my_Love_
#prayforukraine #stopwar #챌린저스캠페인 https://t.co/yjT0EXIZ5I,prayforukraine stopwar,neutral,1,Ropher__
#PrayForUkraine https://t.co/tfTWNcneyb,prayforukraine,neutral,1,RosochaTaras
年長さんの女の子です。\nみんなが、こんな風に世界をみることができたら、世界はきっと平和になっていくことだろうと思いました。\n#PrayForUkraine\n#SunflowerFromJapan https://t.co/Lhd88LZyTS,nnprayforukrainensunflowerfromjapan,neutral,1,TsubasaKyoiku
